title,H,(H),(Hd) ,А ,(А),Ad ,At ,Sex ,Obj ,Aobj ,Aat ,Food ,N ,Geo ,PI ,Arch ,Art ,Abs ,ВІ ,Ті,Cl
Рука держит яркую рождественскую игрушку.,1,,1,,,,,,1,,,,,,,,,,,,
Спина согнута под тяжелым рюкзаком.,1,,1,,,,,,1,,,,,,,,,,,,
Лицо отражается в маленькой луже.,1,,1,,,,,,,,,,,,,,,,,,
Губы чуть приоткрыты в ожидании.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы аккуратно собирают лесные ягоды.,1,,1,,,,,,,,,,,,1,,,,,,
Человек делает шпагат на фоне яркого заката.,1,,,,,,,,,,,,1,,,,,,,,
Руки переплетают стебли в красивый венок.,1,,1,,,,,,1,,,,,,,,,,,,
Силуэт человека едва виден в густом тумане.,1,,,,,,,,,,,,1,,,,,,,,
Ноги идут по рассыпчатой пыли пустыни.,1,,1,,,,,,,,,,1,,,,,,,,
Лицо светится радостью и счастьем.,1,,1,,,,,,,,,,,,,,,,,,
Руки лепят весёлую снежную бабу.,1,,1,,,,,,1,,,,,,,,,,,,
Рука показывает на яркую звезду в небе.,1,,1,,,,,,,,,,1,,,,,,,,
Певец поет в свете ярких прожекторов.,1,,,,,,,,1,,,,,,,,,,,,
Ноги в туристических ботинках на краю каньона.,1,,,,,,,,1,,,,1,,,,,,,,
Губы произносят слова любви.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы держат карандаш над начатым эскизом.,1,,1,,,,,,1,,,,,,,,,,,,
Художник сидит за мольбертом спиной к зрителю.,1,,1,,,,,,1,,,,,,,,,,,,
Человек стоит на заснеженном поле.,1,,,,,,,,,,,,1,,,,,,,,
Рука срывает спелое яблоко с ветки.,1,,1,,,,,,,,,,,,1,,,,,,
Лицо мокрое от капель дождя.,1,,1,,,,,,,,,,,,,,,,,,
Рука крепко держит компас.,1,,1,,,,,,1,,,,,,,,,,,,
Ноги свисают с края деревянного пирса.,1,,1,,,,,,,,,,,,,1,,,,,
Девушка с закрытыми глазами стоит на ветру.,1,,1,,,,,,,,,,,,,,,,,,
Силуэт залит мягким оранжевым светом заката.,1,,,,,,,,,,,,1,,,,,,,,
Губы соприкасаются в нежном поцелуе.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы аккуратно заплетают косу.,1,,1,,,,,,,,,,,,,,,,,,
Человек стоит спиной и смотрит на море.,1,,1,,,,,,,,,,1,,,,,,,,
Ноги исполняют движения танца фламенко.,1,,1,,,,,,,,,,,,,,,,,,
Лицо спрятано за раскрытой книгой.,1,,1,,,,,,1,,,,,,,,,,,,
Рука поправляет сползающие очки.,1,,1,,,,,,1,,,,,,,,,,,,
Пальцы нежно обвивают стебель розы.,1,,1,,,,,,,,,,,,1,,,,,,
Человек стоит на фоне огромного воздушного шара.,1,,,,,,,,1,,,,,,,,,,,,
Ноги в сапогах утопают в снегу.,1,,1,,,,,,1,,,,,,,,,,,,
Лицо озарено легкой улыбкой.,1,,1,,,,,,,,,,,,,,,,,,
Руки завязывают шнурки на кроссовках.,1,,1,,,,,,1,,,,,,,,,,,,
Губы пробуют каплю меда.,1,,1,,,,,,,,,1,,,,,,,,,
Спина закутана в теплое одеяло.,1,,1,,,,,,1,,,,,,,,,,,,
Профиль девушки с венком из полевых цветов.,1,,,,,,,,1,,,,,,,,,,,,
Ноги в ярких носках прыгают на кровати.,1,,1,,,,,,1,,,,,,,,,,,,
Рука аккуратно срывает лепесток с цветка.,1,,1,,,,,,,,,,,,1,,,,,,
Лицо освещено огнями ночных фонарей.,1,,1,,,,,,1,,,,,,,,,,,,
Силуэт стоит перед бушующим морем.,1,,,,,,,,,,,,1,,,,,,,,
Пальцы нежно перебирают волосы любимого человека.,1,,1,,,,,,,,,,,,,,,,,,
Ноги стоят на вершине смотровой площадки.,1,,1,,,,,,,,,,,,,1,,,,,
Губы прикасаются к краю бокала вина.,1,,1,,,,,,1,,,1,,,,,,,,,
Спина женщины в струящемся шелковом платье.,1,,1,,,,,,,1,,,,,,,,,,,
Рука бережно держит зажженную свечу.,1,,1,,,,,,1,,,,,,,,,,,,
Человек поднимается по старой лестнице.,1,,,,,,,,,,,,,,,1,,,,,
Ноги стоят на самом краю высокого обрыва.,1,,1,,,,,,,,,,1,,,,,,,,
Лицо застыло в ожидании ответа.,1,,1,,,,,,,,,,,,,,,,,,
Пальцы рисуют узоры на запотевшем стекле.,1,,1,,,,,,1,,,,,,,,,,,,
Мужчина в костюме стоит на фоне заходящего солнца.,1,,,,,,,,1,,,,1,,,,,,,,
Человек исчезает в густом сером тумане.,1,,,,,,,,,,,,1,,,,,,,,
Человеческая фигура с головой льва и телом орла.,,1,,,,1,,,,,,,,,,,,,,,
Человек с длинными руками и ногами в комическом стиле.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура тела человека с птичьей головой.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой слона и человеческим телом.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рыбьим телом.,,1,,,,1,,,,,,,,,,,,,,,
Человеческая фигура с большой головой и маленьким телом.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с телом змеи.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой волка и телом человека.,,1,,,,1,,,,,,,,,,,,,,,
Человек с руками и ногами из растений.,,1,,,,,,,,,,,,,1,,,,,,
Скульптура человека с головой слона.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой льва и телом орла.,,1,,,,1,,,,,,,,,,,,,,,
Человек с большими крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с огромными глазами и крошечным носом.,,1,1,,,,,,,,,,,,,,,,,,
Человек с хвостом дракона.,,1,,,,1,,,,,,,,,,,,,,,
Человек с перекошенным лицом в карикатурном стиле.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой рыбы.,,1,,,,1,,,,,,,,,,,,,,,
Человек с птичьими крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с длинными ногами и коротким телом.,,1,1,,,,,,,,,,,,,,,,,,
Человек с головой дракона.,,1,,,,1,,,,,,,,,,,,,,,
Человек с длинным носом и большими ушами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой слона и телом льва.,,1,,,,1,,,,,,,,,,,,,,,
Человек с хвостом змеи.,,1,,,,1,,,,,,,,,,,,,,,
Человек с гигантскими руками и маленьким телом.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой тигра и телом орла.,,1,,,,1,,,,,,,,,,,,,,,
Человек с хвостом павлина.,,1,,,,1,,,,,,,,,,,,,,,
Человек с круглым лицом и гротескными чертами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой дракона и телом орла.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рогами оленя.,,1,,,,1,,,,,,,,,,,,,,,
Человек с огромными глазами и искаженными чертами лица.,,1,1,,,,,,,,,,,,,,,,,,
Человек с крыльями и перьями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с очень длинными руками и ногами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой слона и телом орла.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рыбьим хвостом.,,1,,,,1,,,,,,,,,,,,,,,
Человек с большой головой и узким телом.,,1,1,,,,,,,,,,,,,,,,,,
Человек с вытянутым лицом и кривыми чертами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой дракона и телом льва.,,1,,,,1,,,,,,,,,,,,,,,
Человек с хвостом льва.,,1,,,,1,,,,,,,,,,,,,,,
Человек с громадными ушами и узким лицом.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой орла и большими крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рыбьим хвостом и чешуей.,,1,,,,1,,,,,,,,,,,,,,,
Человек с большими ногами и маленькой головой.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой слона и рогами.,,1,,,,1,,,,,,,,,,,,,,,
Человек с крыльями и огромными глазами.,,1,1,,,1,,,,,,,,,,,,,,,
Скульптура человека с головой дракона и крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с хвостом льва и крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с огромными глазами и гротескным лицом.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой тигра и рогами.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рыбьим хвостом и плавниками.,,1,,,,1,,,,,,,,,,,,,,,
Человек с большими руками и ногами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой орла и крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с крыльями и глазами птицы.,,1,,,,1,,,,,,,,,,,,,,,
Человек с длинным языком и вытянутым лицом.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой слона и крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с огромными глазами и странными чертами.,,1,1,,,,,,,,,,,,,,,,,,
Скульптура человека с головой тигра и крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с крыльями и вытянутыми руками.,,1,1,,,1,,,,,,,,,,,,,,,
Человек с крупной головой и узким телом.,,1,1,,,,,,,,,,,,,,,,,,
Человек с хвостом льва и большими крыльями.,,1,,,,1,,,,,,,,,,,,,,,
Человек с головой ворона и телом обезьяны.,,1,,,,1,,,,,,,,,,,,,,,
Человек с телом дракона и руками человека.,,1,1,,,1,,,,,,,,,,,,,,,
Существо с головой быка и телом человека.,,1,,,,1,,,,,,,,,,,,,,,
"Человек с перепончатыми руками, похожими на крылья летучей мыши.",,1,1,,,1,,,,,,,,,,,,,,,
Фигура с тонкими длинными пальцами и крошечной головой.,,1,1,,,,,,,,,,,,,,,,,,
Человек с хвостом скорпиона.,,1,,,,1,,,,,,,,,,,,,,,
Человек с глазами рептилии.,,1,,,,1,,,,,,,,,,,,,,,
Портрет с неестественно длинной шеей.,,1,1,,,,,,,,,,,,,,,,,,
Человек с панцирем черепахи.,,1,,,,1,,,,,,,,,,,,,,,
Существо с крыльями бабочки и телом женщины.,,1,,,,1,,,,,,,,,,,,,,,
Человек с когтями медведя вместо рук.,,1,,,,1,,,,,,,,,,,,,,,
Портрет с глазами разной величины и загнутым вверх носом.,,1,1,,,,,,,,,,,,,,,,,,
Фигура с рогами оленя и телом человека.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой козла и телом человека.,,1,,,,1,,,,,,,,,,,,,,,
Человек с крыльями стрекозы.,,1,,,,1,,,,,,,,,,,,,,,
Карикатура с торчащими ушами и короткими ногами.,,1,1,,,,,,,,,,,,,,,,,,
Человек с ногами лошади и руками человека.,,1,1,,,1,,,,,,,,,,,,,,,
Существо с головой совы и телом женщины.,,1,,,,1,,,,,,,,,,,,,,,
Человек с чешуйчатой кожей.,,1,,,,1,,,,,,,,,,,,,,,
Портрет с непропорционально огромными зубами.,,1,1,,,,,,,,,,,,,,,,,,
Человек с крыльями ворона.,,1,,,,1,,,,,,,,,,,,,,,
Человек с рыбьим хвостом вместо ног.,,1,,,,1,,,,,,,,,,,,,,,
Карикатура с миниатюрным торсом и массивными руками.,,1,1,,,,,,,,,,,,,,,,,,
Человек с рогами барана и телом женщины.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой кота и телом человека.,,1,,,,1,,,,,,,,,,,,,,,
Человек с птичьими лапами вместо ног.,,1,,,,1,,,,,,,,,,,,,,,
Карикатура с маленьким туловищем и огромной шапкой.,,1,1,,,,,,1,,,,,,,,,,,,
Человек с телом змеи.,,1,,,,1,,,,,,,,,,,,,,,
Существо с головой дракона и телом женщины.,,1,,,,1,,,,,,,,,,,,,,,
Портрет с гигантскими ушами и отсутствием носа.,,1,1,,,,,,,,,,,,,,,,,,
Фигура с броней из раковин.,,1,,,,1,,,,,,,,,,,,,,,
Человек с шерстяной кожей.,,1,,,,1,,,,,,,,,,,,,,,
Карикатура с перекошенным ртом и длинными ресницами.,,1,1,,,,,,,,,,,,,,,,,,
Человек с ногами козла и руками льва.,,1,,,,1,,,,,,,,,,,,,,,
Существо с телом феникса и лицом человека.,,1,,,,1,,,,,,,,,,,,,,,
Ангел с прозрачными крыльями.,,1,,,,,,,,,,,,,,,,,,,
"Человек без лица, с гладкой поверхностью вместо глаз и рта.",,1,1,,,,,,,,,,,,,,,,,,
Великан с маленькими руками и ногами.,,1,,,,,,,,,,,,,,,,,,,
Ведьма с крыльями из черных перьев ворона.,,1,,,,1,,,,,,,,,,,,,,,
"Человек с телом, покрытым чешуей.",,1,,,,1,,,,,,,,,,,,,,,
Девушка с полупрозрачным телом.,,1,,,,,,,,,,,,,,,,,,,
Рыцарь с ногами корней деревьев.,,1,,,,,,,,,,,,,1,,,,,,
Старик с огромными ушами.,,1,1,,,,,,,,,,,,,,,,,,
Ангел с золотыми когтями вместо пальцев.,,1,1,,,,,,,,,,,,,,,,,,
Женщина с длинными руками.,,1,1,,,,,,,,,,,,,,,,,,
Демон с рогами.,,1,,,,,,,,,,,,,,,,,,,
Человек с крыльями из тонких нитей паутины.,,1,,,,1,,,,,,,,,,,,,,,
Мужчина с клювом птицы вместо носа.,,1,,,,1,,,,,,,,,,,,,,,
"Толстяк, у которого кисточки вместо пальцев.",,1,1,,,,,,1,,,,,,,,,,,,
"Женщина с глазами, из которых растут цветы.",,1,1,,,,,,,,,,,,1,,,,,,
"Ведьма с руками, сотканными из теней.",,1,1,,,,,,,1,,,,,,,,,,,
"Ангел, отбрасывающий тень демона.",,1,,,,,,,,,,,,,,,,,,,
"Человек с головой, похожей на вспыхнувшую звезду.",,1,,,,,,,,,,,,,,,,,,,
Женщина с хвостом русалки и крыльями летучей мыши.,,1,,,,1,,,,,,,,,,,,,,,
Демон с четырьмя парами рук.,,1,1,,,,,,,,,,,,,,,,,,
Ангел.,,1,,,,,,,,,,,,,,,,,,,
"Человек с телом, усеянным маленькими глазами.",,1,1,,,,,,,,,,,,,,,,,,
Ведьма с венком из живых змей на голове.,,1,,1,,,,,,,,,,,,,,,,,
"Ангел с крыльями, сложенными из горящих листьев.",,1,,,,,,,,,,,,,1,,,,,1,
"Девушка с волосами, превращающимися в облака.",,1,1,,,,,,,,,,,,,,,,,,1
"Демон с языком, разделенным на множество тонких нитей.",,1,,,,,,,,1,,,,,,,,,,,
"Человек с грудью, в которой виден бьющийся огненный шар.",,1,,,,,,,,,,,,,,,,,,1,
Рука держит чашку кофе.,,,1,,,,,,1,,,1,,,,,,,,,
Глаза полны эмоций.,,,1,,,,,,,,,,,,,,,1,,,
Босые ноги стоят на мокром песке.,,,1,,,,,,,,,,1,,,,,,,,
Лицо с ярко накрашенными губами.,,,1,,,,,,,,,,,,,,,,,,
Плечо украшено татуировкой.,,,1,,,,,,,,,,,,,,,,,,
Кисти рук сложены в молитве.,,,1,,,,,,,,,,,,,,,,,,
Ноги в ярких кроссовках шагают по улице.,,,1,,,,,,1,,,,,,,,,,,,
Колени в рваных джинсах.,,,1,,,,,,1,,,,,,,,,,,,
"Рот улыбается, обнажая зубы.",,,1,,,,,,,,,,,,,,,,,,
Спина покрыта веснушками.,,,1,,,,,,,,,,,,,,,,,,
Ноги в кроссовках идут по лесной тропинке.,,,1,,,,,,1,,,,1,,,,,,,,
Ступни стоят на краю обрыва.,,,1,,,,,,,,,,1,,,,,,,,
Губы улыбаются в лучах солнца.,,,1,,,,,,,,,,,,,,,,,,
Шея украшена тонкой цепочкой.,,,1,,,,,,1,,,,,,,,,,,,
Пальцы играют на фортепиано.,,,1,,,,,,1,,,,,,,,,,,,
Руки держат кисть во время рисования.,,,1,,,,,,1,,,,,,,,,,,,
Стопа в балетной пуанте.,,,1,,,,,,1,,,,,,,,,,,,
Женские плечи обнажены и грациозны.,,,1,,,,,,,,,,,,,,,,,,
Тень руки падает на стену.,,,1,,,,,,,,,,,,,,,,,,
Пальцы перебирают страницы старой книги.,,,1,,,,,,1,,,,,,,,,,,,
Запястье украшено наручными часами.,,,1,,,,,,1,,,,,,,,,,,,
Рука сжимает кисть другой руки.,,,1,,,,,,,,,,,,,,,,,,
Ноги идут по тропинке в лесу.,,,1,,,,,,,,,,1,,,,,,,,
Силуэты людей обнимаются на фоне заката.,,,1,,,,,,,,,,1,,,,,,,,
Голова покрыта пеной во время бритья.,,,1,,,,,,1,,,,,,,,,,,,
Спина выпрямлена в позе йоги.,,,1,,,,,,,,,,,,,,,,,,
Губы покрыты капельками дождя.,,,1,,,,,,,,,,,,,,,,,,
Глаза смотрят вдаль с выражением тоски.,,,1,,,,,,,,,,,,,,,,,,
Силуэт человека стоит на вершине горы.,,,1,,,,,,,,,,1,,,,,,,,
Ступни стоят на горячем песке пляжа.,,,1,,,,,,,,,,1,,,,,,,,
Уста улыбаются во время разговора.,,,1,,,,,,,,,,,,,,,,,,
Рука подает помощь другому человеку.,,,1,,,,,,,,,,,,,,,1,,,
Профиль человека вырезан на фоне луны.,,,1,,,,,,,,,,1,,,,,,,,
Ладонь держит каплю воды.,,,1,,,,,,,,,,,,,,,,,,
Нога находится в позе планки.,,,1,,,,,,,,,,,,,,,,,,
Сердце бьется в ритме страсти.,,,,,,,1,,,,,,,,,,,,,,
Уши слушают мелодию природы.,,,1,,,,,,,,,,,,,,,,,,
Профиль человека освещен утренним солнцем.,1,,,,,,,,,,,,,,,,,,,,
Губы покрыты пурпурной помадой.,,,1,,,,,,1,,,,,,,,,,,,
Рука пишет в блокноте при свечах.,,,1,,,,,,1,,,,,,,,,,,,
Фигура танцует под звездным небом.,1,,,,,,,,,,,,1,,,,,,,,
Глаза выражают удивление.,,,1,,,,,,,,,,,,,,,1,,,
Пальцы играют на струнах гитары.,,,1,,,,,,1,,,,,,,,,,,,
Спина массируется после тяжелого дня.,,,1,,,,,,,,,,,,,,,,,,
Лицо отражает радость и счастье.,,,1,,,,,,,,,,,,,,,1,,,
Ноги танцуют под дождем.,,,1,,,,,,,,,,,,,,,,,,
Рука держит книгу.,,,1,,,,,,1,,,,,,,,,,,,
Губы шепчут нежные слова.,,,1,,,,,,,,,,,,,,,,,,
Глаза пронзены стрелой любви.,,,1,,,,,,,,,,,,,,,1,,,
Фигура погружена в медитацию.,,,1,,,,,,,,,,,,,,,,,,
Руки скрещены в знак покаяния.,,,1,,,,,,,,,,,,,,,,,,
Лицо выражает глубокую задумчивость.,,,1,,,,,,,,,,,,,,,,,,
Спина загорает на берегу океана.,,,1,,,,,,,,,,1,,,,,,,,
Босые ноги исследуют траву на лугу.,,,1,,,,,,,,,,1,,,,,,,,
Рука протянута в знак приветствия.,,,1,,,,,,,,,,,,,,,,,,
Рука держит крошечный цветок.,,,1,,,,,,,,,,,,1,,,,,,
Лицо выражает глубокую грусть.,,,1,,,,,,,,,,,,,,,1,,,
Глаза смотрят в объектив камеры с тайным взглядом.,,,1,,,,,,1,,,,,,,,,,,,
Фигура поднимает руки к небу в знак поклона.,,,1,,,,,,,,,,,,,,,,,,
Губы удерживают каплю вина.,,,1,,,,,,,,,1,,,,,,,,,
Пальцы вдыхают аромат свежей земли.,,,1,,,,,,,,,,,,,,,,,,
Спина купается в лучах утреннего солнца.,,,1,,,,,,,,,,,,,,,,,,
Рука подает монету нищему.,,,1,,,,,,1,,,,,,,,,,,,
Лицо освещено улыбкой рассвета.,,,1,,,,,,,,,,1,,,,,,,,
Фигура обнимает ствол дерева.,,,1,,,,,,,,,,,,1,,,,,,
Ноги идут по каменистой дороге.,,,1,,,,,,,,,,1,,,,,,,,
Рука держит фотоаппарат.,,,1,,,,,,1,,,,,,,,,,,,
Рука распростерта в жесте обнимания.,,,1,,,,,,,,,,,,,,,,,,
Глаза сверкают от радости.,,,1,,,,,,,,,,,,,,,,,,
Губы тают от вкуса шоколада.,,,1,,,,,,,,,1,,,,,,,,,
Спина согнута под тяжестью груза.,,,1,,,,,,,,,,,,,,,,,,
Сердце разбито на тысячу мелких осколков.,,,,,,1,,,,,,,,,,,,,,,
Пальцы играют на клавишах пианино.,,,1,,,,,,1,,,,,,,,,,,,
Фигура окутана дымом костра.,,,1,,,,,,,,,,,,,,,,,1,
Рука стряхивает пыль со старой книги.,,,1,,,,,,1,,,,,,,,,,,,
Лицо покрыто маской таинственности.,,,1,,,,,,,,,,,,,,,,,,
Рука удерживает падающую звезду.,,,1,,,,,,,,,,,,,,,,,,
Ноги стоят на краю обрыва.,,,1,,,,,,,,,,1,,,,,,,,
Губы шепчут слова любви.,,,1,,,,,,,,,,,,,,,,,,
Спина прогибается во время танца.,,,1,,,,,,,,,,,,,,,,,,
Глаза озарены светом вдохновения.,,,1,,,,,,,,,,,,,,,,,,
Пальцы ткут нить жизни.,,,1,,,,,,,,,,,,,,,,,,
Фигура сидит на скамейке в парке.,,,1,,,,,,1,,,,,,,,,,,,
Рука рисует мандалу на песке.,,,1,,,,,,,,,,,,,,,,,,
Лицо отражает мудрость и опыт.,,,1,,,,,,,,,,,,,,,1,,,
Рука держит кисть для живописи.,,,1,,,,,,1,,,,,,,,,,,,
Сердце сверкает в лучах заката.,,,,,,,1,,,,,,1,,,,,,,,
Ноги стоят на замерзшей поверхности озера.,,,1,,,,,,,,,,1,,,,,,,,
Спина обвита пленкой татуировок.,,,1,,,,,,,,,,,,,,,,,,
Губы целуются под дождем.,,,1,,,,,,,,,,,,,,,,,,
Глаза сияют от счастья.,,,1,,,,,,,,,,,,,,,,,,
Фигура застыла в ожидании.,,,1,,,,,,,,,,,,,,,,,,
Руки сбрасывают цепь оков.,,,1,,,,,,1,,,,,,,,,,,,
Лицо покрыто маской грима.,,,1,,,,,,1,,,,,,,,,,,,
Рука поглаживает мягкую ткань.,,,1,,,,,,1,,,,,,,,,,,,
Ноги идут по следам на песке.,,,1,,,,,,,,,,,,,,,,,,
Сердце пульсирует в ритме жизни.,,,1,,,,,,,,,,,,,,,,,,
Спина погружена в глубокий сон.,,,1,,,,,,,,,,,,,,,,,,
Глаза устали от борьбы.,,,1,,,,,,,,,,,,,,,,,,
